20221319015025042,17,1,100,255,10,1,100,60,0,10,0,10
2022131901502715,18,832,10,63,10,769,10,60,0,10,0,10
20221319015029021,16,6,100,5,100,789,10,60,8,10,0,10
20221319015030048,39,18,100,17,100,1,100,61,0,10,0,10
20221319015031027,21,4,100,4,100,0,10,61,18,10,7,10
20221319015032052,33,8,100,5,100,2,100,61,1,10,4,10
2022131901503317,20,6,100,4,100,1,100,62,46,10,7,10
20221319015033026,28,5,100,5,100,601,10,62,0,10,0,10
20221319015034025,42,13,100,7,100,5,100,62,0,10,0,10
20221319015034043,33,4,100,4,100,19,10,61,1,10,0,10
20221319015035033,32,4,100,4,100,0,10,61,0,10,0,10
20221319015035047,25,10,100,10,100,651,10,61,9,10,10,10
20221319015036030,33,3,100,3,100,134,10,61,0,10,0,10
20221319015037032,32,6,100,6,100,35,10,61,9,10,11,10
2022131901503816,33,6,100,4,100,2,100,62,0,10,0,10
20221319015039022,29,8,100,4,100,3,100,61,3,10,0,10
2022131901504110,36,9,100,8,100,530,10,61,407,10,8,10
2022131901504412,30,804,10,552,10,252,10,62,0,10,0,10
20221319015045025,33,1,100,931,10,593,10,62,4,10,1,10
